unode dx dy f11 f12 f21 f22
0 0.0015232 0.0147414 0.776251 0.666291 -0.408201 0.941647
1 0.00127881 0.0145331 0.830855 0.602582 -0.360997 0.932058
2 0.00120048 0.0144605 0.843336 0.605942 -0.351356 0.904311
3 0.00190113 0.0144535 0.804711 0.697271 -0.352942 0.967253
4 0.00477286 0.0165871 0.699679 0.756581 -0.432375 1.00754
5 0.00457337 0.0163023 0.704228 0.709774 -0.426371 0.96627
6 0.00603788 0.0174577 0.674598 0.741113 -0.451608 0.950971
7 0.00451708 0.0157846 0.703287 0.804795 -0.418672 1.00436
8 -0.00182751 0.0139126 0.813858 0.581425 -0.386055 0.946077
9 -0.00543202 0.0135945 0.868047 0.526551 -0.381557 0.936219
10 -0.00826105 0.0132403 0.90583 0.456497 -0.376832 0.924836
11 -0.00791246 0.0126218 0.901682 0.46876 -0.369395 0.930341
12 -0.00741925 0.015105 0.896191 0.4692 -0.396678 0.921011
13 -0.00981249 0.0146108 0.920364 0.458619 -0.391939 0.906372
14 -0.0101921 0.0101744 0.924059 0.463874 -0.350351 0.908611
15 -0.00983908 0.00264434 0.921114 0.470664 -0.283816 0.94498
16 -0.00806088 -0.00196139 0.906312 0.474857 -0.245739 0.991047
17 -0.00716633 -0.00733143 0.899409 0.46348 -0.20431 1.01214
18 -0.00233159 -0.0130194 0.864323 0.437975 -0.162917 1.06539
19 9.33152e-05 -0.0234403 0.847686 0.426134 -0.0910263 1.1226
20 0.00528289 -0.0313304 0.813745 0.431605 -0.0396556 1.21092
21 0.00560568 -0.0400766 0.812035 0.454765 0.014337 1.2147
22 0.00504233 -0.0374602 0.815449 0.466567 -0.00163119 1.2064
23 0.00450194 -0.042188 0.818699 0.4939 0.0253133 1.20427
24 -0.00237852 -0.0479097 0.856192 0.531237 0.0564986 1.23653
25 -0.00364487 -0.0346464 0.862472 0.529669 -0.0132036 1.15196
26 -0.00102851 -0.0363354 0.849652 0.529101 -0.00457155 1.17212
27 -0.00162099 -0.0251226 0.852366 0.539948 -0.0576993 1.15201
28 0.00418673 -0.0164222 0.82604 0.526173 -0.0979635 1.16501
29 0.00274177 -0.016433 0.832024 0.438879 -0.0977107 1.14646
30 0.01493 0.000382518 0.780346 0.363594 -0.170309 1.08915
31 0.00479299 -0.0185603 0.824655 0.410753 -0.0892866 1.1541
32 -0.00743156 -0.0252076 0.873799 0.366367 -0.063061 1.13751
33 -0.00568811 -0.0295981 0.866901 0.358829 -0.0456512 1.16952
34 -0.03407 -0.0704504 0.974611 0.299001 0.109674 1.04288
35 -0.100369 -0.157897 1.22072 0.113632 0.434058 0.853238
36 -0.10057 -0.153968 1.22323 0.11053 0.422014 0.802853
37 -0.13268 -0.163137 1.33749 0.0394218 0.455882 0.754564
38 -0.139686 -0.169945 1.36054 0.0954349 0.478308 0.782993
39 -0.12508 -0.124728 1.31142 0.112085 0.326508 0.7799
40 -0.0339146 -0.0647011 1.01793 0.400781 0.134238 0.965591
41 0.00666369 -0.028598 0.891162 0.560315 0.0208769 1.08987
42 0.00766825 -0.0284434 0.88847 0.720077 0.0207913 1.19611
43 0.0500116 0.0150382 0.759898 0.742936 -0.110989 1.16845
44 0.0738711 0.0376971 0.689922 0.825844 -0.177605 1.21659
45 0.0785079 0.0448298 0.677205 0.82417 -0.197639 1.18382
46 0.0898232 0.0566295 0.64486 0.965725 -0.231231 1.25401
47 0.0788996 0.0432444 0.675276 0.840202 -0.194192 1.19128
48 0.00942905 0.0176951 0.863099 0.60618 -0.125012 1.0746
49 -0.0425562 0.00951814 0.999688 0.370594 -0.103585 1.02627
50 -0.0353947 0.0229777 0.980492 0.274615 -0.138701 1.00958
51 -0.0327927 0.018845 0.973956 0.233325 -0.128242 0.968671
52 -0.018439 0.0165976 0.938265 0.296389 -0.122567 1.04378
53 -0.0341928 -0.00871568 0.976614 0.205595 -0.0608805 1.00203
54 -0.0504524 -0.0341197 1.01536 0.161282 -0.000236038 0.983636
55 -0.0989646 -0.0939307 1.12939 0.0402849 0.14027 0.895341
56 -0.129374 -0.128433 1.19944 -0.0736718 0.21997 0.819391
57 -0.121633 -0.114681 1.18192 -0.055084 0.188593 0.838506
58 -0.109494 -0.0993656 1.15459 -0.0388464 0.154268 0.865179
59 -0.110656 -0.113052 1.15729 -0.068868 0.184119 0.846337
60 -0.126259 -0.142599 1.19133 -0.0797421 0.248046 0.825613
61 -0.120681 -0.13164 1.17986 -0.0527318 0.225294 0.832428
62 -0.121158 -0.121471 1.18103 -0.0550674 0.204247 0.845176
63 -0.108294 -0.0927642 1.1548 -0.0738554 0.145583 0.840941
64 -0.121403 -0.0781002 1.18125 -0.0640857 0.116034 0.818387
65 -0.137362 -0.0919485 1.21291 -0.00637531 0.14369 0.879945
66 -0.141288 -0.0916868 1.22055 -0.0445274 0.143093 0.84428
67 -0.181542 -0.116322 1.29735 -0.0721439 0.189958 0.807583
68 -0.194316 -0.119206 1.32018 -0.0395605 0.19409 0.792383
69 -0.0251323 -0.079198 1.00455 0.00237099 0.119257 0.865886
70 -0.0467827 -0.178188 1.04521 -0.207445 0.301441 0.959079
71 -0.054424 -0.113347 1.0589 -0.263 0.18443 0.920621
72 -0.0719663 -0.0606413 1.09049 -0.0356501 0.0912608 0.879518
73 -0.0905957 0.00117087 1.12372 0.0682942 -0.0172289 0.890146
74 -0.0538605 0.0688826 1.06015 0.0634829 -0.134464 0.9102
75 -0.0268122 0.0519824 1.01357 0.07377 -0.105495 0.956106
76 -0.0331845 0.018812 1.02445 0.0837473 -0.0490336 0.979408
77 -0.0128057 0.0124371 0.990236 0.115067 -0.03836 1.01697
78 -0.0236434 -0.0294208 1.00831 0.0995203 0.0311047 0.97886
79 -0.0161543 -0.0399229 0.995901 0.121511 0.0479394 1.01551
80 -0.0124696 -0.0781564 0.990069 0.126309 0.109684 1.02364
81 -0.0197813 -0.0828151 1.00154 0.13896 0.116936 1.06386
82 0.0129595 -0.134154 0.950166 0.184271 0.197404 1.06479
83 -0.0277057 -0.189712 1.01333 0.212254 0.283714 1.02201
84 0.0106683 -0.189719 0.954692 0.169155 0.283402 1.0689
85 -0.0667619 -0.303358 1.07158 0.2788 0.455358 1.0991
86 -0.115969 -0.186929 1.14532 0.434468 0.281359 1.1107
87 0.010359 -0.150129 0.958282 0.532544 0.226666 1.21277
88 -0.0296654 -0.41035 1.01692 0.581832 0.608049 1.30871
89 -0.0400932 -0.167549 1.0318 0.679981 0.255393 1.06878
90 -0.419676 -0.406812 1.57371 1.29317 0.597747 1.17346
91 -0.268975 -0.622011 1.36197 1.04295 0.901662 1.40834
92 -0.777866 -0.706832 2.07144 2.20643 1.0184 1.75119
93 0.174159 -0.639411 0.752827 0.84037 0.925175 2.12172
94 0.0403333 -0.334491 0.9356 0.85502 0.508141 1.66772
95 -0.00792321 -0.300064 1.00064 0.63871 0.460958 1.3151
96 -0.166965 -0.297531 1.21316 0.524831 0.457661 1.0908
97 -0.183895 -0.197246 1.23538 0.416716 0.324203 0.972578
98 -0.0574996 -0.0933417 1.06915 0.39563 0.188448 0.996203
99 0.0172476 0.170775 0.972072 0.592219 -0.15536 0.937272
100 0.0685259 0.205345 0.906369 0.588806 -0.199716 0.927311
101 -0.0390817 0.142638 1.04341 0.548613 -0.119821 0.934153
102 -0.113728 0.0821492 1.13726 0.371126 -0.0433634 0.808528
103 -0.268287 0.0641299 1.3303 0.288999 -0.0211066 0.71137
104 -0.323153 0.0137721 1.39831 0.318897 0.0415363 0.749739
105 -0.388332 -0.185429 1.47764 0.278182 0.285219 0.732492
106 -0.473438 -0.33677 1.58104 0.339738 0.468696 0.723657
107 -0.403901 -0.0793357 1.49731 0.360329 0.15924 0.699383
108 -0.377444 -0.175917 1.46563 0.374883 0.274363 0.751483
109 -0.367086 -0.161067 1.45371 0.403035 0.257 0.74595
110 -0.366426 -0.10525 1.45298 0.40662 0.191867 0.753774
111 -0.360871 -0.10965 1.44658 0.415426 0.197433 0.777173
112 -0.223544 0.0433989 1.28874 0.4436 0.0215325 0.781353
113 -0.165972 0.116558 1.22299 0.522161 -0.0617609 0.827488
114 0.0399704 0.129282 0.991355 0.538313 -0.0751389 0.909242
115 0.202115 0.36117 0.810965 0.705244 -0.333704 0.956402
116 0.286606 0.499659 0.716797 0.829839 -0.48773 0.940203
117 0.226002 0.45382 0.783118 0.733877 -0.437415 0.90992
118 0.20476 0.469249 0.806292 0.577174 -0.454222 0.848318
119 0.12223 0.407414 0.89545 0.541589 -0.387578 0.905497
120 0.149896 0.424102 0.865727 0.569476 -0.405447 0.890024
121 0.278991 0.458751 0.728561 0.756895 -0.442299 0.946092
122 0.494577 0.531251 0.501131 1.04582 -0.518748 1.06504
123 0.504297 0.544399 0.490712 0.984266 -0.532603 1.01629
124 0.412821 0.500702 0.585744 0.889686 -0.487262 0.992978
125 0.357387 0.488432 0.642799 0.825928 -0.474615 0.981414
126 0.315132 0.460898 0.685866 0.773739 -0.446534 0.979764
127 0.284584 0.431331 0.716729 0.76056 -0.416584 0.974326
128 0.00125337 0.0146165 0.71865 0.759586 -0.413664 0.98261
129 0.00110587 0.0146459 0.792201 0.736214 -0.373236 0.952321
130 0.00171308 0.0144036 0.815154 0.625048 -0.350897 0.938264
131 0.0010749 0.0142804 0.85342 0.639343 -0.338867 0.940833
132 0.00354333 0.0164055 0.75303 0.663506 -0.418635 0.938496
133 0.00390935 0.0167431 0.721146 0.74939 -0.438738 0.989305
134 0.0036216 0.015912 0.733794 0.701325 -0.420232 0.986323
135 0.00483748 0.015073 0.71802 0.667954 -0.400042 0.972076
136 0.00539025 0.0166678 0.692686 0.758504 -0.430611 0.982862
137 0.00185852 0.0151793 0.751023 0.716563 -0.406811 0.971736
138 -0.00502543 0.0132981 0.860983 0.537212 -0.37722 0.927358
139 -0.00688797 0.0144643 0.888152 0.49202 -0.389363 0.907394
140 -0.00894025 0.016811 0.910901 0.497316 -0.413171 0.88612
